,Uid,InSLR2030
0,-155.05950_19.72690,True
1,-155.05937_19.72697,True
2,-155.05924_19.72703,True
3,-155.05911_19.72709,True
4,-155.05898_19.72716,True
5,-155.05859_19.72735,True
6,-155.05844_19.72743,True
7,-155.05831_19.72749,True
8,-155.05818_19.72755,True
9,-155.05805_19.72762,True
10,-155.05792_19.72768,True
11,-155.05779_19.72774,True
12,-155.05766_19.72781,True
13,-155.05748_19.72790,True
14,-155.05410_19.72360,True
15,-155.04278_19.73419,True
16,-155.04246_19.73480,True
17,-155.04154_19.73612,True
18,-155.04170_19.73680,True
19,-155.04131_19.73521,True
20,-155.03809_19.73676,True
21,-155.03796_19.73641,True
22,-155.03814_19.73643,True
23,-155.04160_19.73489,True
24,-155.04190_19.73619,True
25,-155.04228_19.73595,True
26,-155.04173_19.73396,True
27,-155.04163_19.73435,True
28,-155.04164_19.73521,True
29,-155.04188_19.73650,True
30,-155.04217_19.73414,True
31,-155.03289_19.73561,True
32,-155.01560_19.73266,True
33,-155.01845_19.73152,True
34,-155.01869_19.73143,True
35,-155.01894_19.73133,True
36,-155.01968_19.73103,True
37,-155.01450_19.73309,True
38,-155.01421_19.73316,True
39,-155.01175_19.73395,True
40,-155.01471_19.73284,True
41,-155.01394_19.73327,True
42,-155.04643_19.72782,True
43,-155.04674_19.72768,True
44,-155.04483_19.72944,True
45,-155.04561_19.72906,True
46,-155.04587_19.72893,True
47,-155.04854_19.72766,True
48,-155.03967_19.73117,True
49,-155.03996_19.73107,True
50,-155.04244_19.72982,True
51,-155.04336_19.72948,True
52,-155.04419_19.72977,True
53,-155.03955_19.73210,True
54,-155.04354_19.72351,True
55,-155.04562_19.72493,True
56,-155.04722_19.72452,True
57,-155.04749_19.72440,True
58,-155.04890_19.72370,True
59,-155.04948_19.72358,True
60,-155.04641_19.72572,True
61,-155.04783_19.72506,True
62,-155.04835_19.72482,True
63,-155.04900_19.72451,True
64,-155.04926_19.72439,True
65,-155.04952_19.72427,True
66,-155.05003_19.72412,True
67,-155.05062_19.72363,True
68,-155.04604_19.72441,True
69,-155.04451_19.72499,True
70,-155.03678_19.72600,True
71,-155.03729_19.72575,True
72,-155.03768_19.72555,True
73,-155.03844_19.72517,True
74,-155.03870_19.72504,True
75,-155.03896_19.72491,True
76,-155.03921_19.72478,True
77,-155.03947_19.72465,True
78,-155.03986_19.72446,True
79,-155.04160_19.72352,True
80,-155.04188_19.72365,True
81,-155.04317_19.72359,True
82,-155.04288_19.72365,True
83,-155.04259_19.72371,True
84,-155.04042_19.72485,True
85,-155.04016_19.72498,True
86,-155.03977_19.72519,True
87,-155.03951_19.72531,True
88,-155.03926_19.72544,True
89,-155.03874_19.72570,True
90,-155.03823_19.72596,True
91,-155.03797_19.72609,True
92,-155.03739_19.72621,True
93,-155.03728_19.72725,True
94,-155.03753_19.72714,True
95,-155.03775_19.72703,True
96,-155.03834_19.72673,True
97,-155.03860_19.72661,True
98,-155.03911_19.72635,True
99,-155.03937_19.72622,True
100,-155.03962_19.72609,True
101,-155.03988_19.72596,True
102,-155.04014_19.72583,True
103,-155.04053_19.72563,True
104,-155.04104_19.72538,True
105,-155.04134_19.72590,True
106,-155.04108_19.72603,True
107,-155.04018_19.72649,True
108,-155.03966_19.72675,True
109,-155.03941_19.72688,True
110,-155.03915_19.72701,True
111,-155.03890_19.72713,True
112,-155.03864_19.72726,True
